id,name,2019,2020,2021,2022,2023,2024
9a80eec2-fc58-44c1-89ed-0e424ac52932,Akademia Nauk Stosowanych Towarzystwa Wiedzy Powszechnej w Szczecinie,949,984,1130,963,881,875
66e61654-f7b8-4e98-b641-e7ed367822b8,Akademia Piotrkowska,,,,,831,829
4ff9527d-be6f-44b3-a516-3f22cbdc20eb,Wyższa Szkoła Ekonomii i Informatyki w Krakowie,1522,1840,1938,1899,1744,1709
840fa892-2a42-4007-92cd-c6f60a19f825,Wyższa Szkoła Kadr Menedżerskich,442,458,447,513,459,350
93316717-c30b-4ab1-9f32-f95eef75f238,Zachodniopomorska Szkoła Biznesu - Akademia Nauk Stosowanych,1169,1114,1055,1010,896,793
40b7dda2-c73f-43f7-a667-c5ef86f808b1,Wyższa Szkoła Prawa we Wrocławiu,799,849,926,896,890,931
953a9a01-995f-4ee1-83c3-a4c0f2564277,Państwowa Medyczna Wyższa Szkoła Zawodowa w Opolu,1246,,,,,
a10cb76e-7c85-476b-abf1-f9413bb554d7,Wyższa Szkoła Administracji w Bielsku-Białej,419,664,715,701,650,1106
65e3e748-3244-4800-980d-476174a29c7b,Wyższy Instytut Teologiczny w Częstochowie,9,,,,,
2f5e8a4f-3d01-42ac-bf37-c7e5c5f8b1cb,Wyższa Inżynierska Szkoła Bezpieczeństwa i Organizacji Pracy w Radomiu,224,220,197,191,183,179
3b7a72f4-78d9-4c46-8876-932d37791dd0,Akademia Marynarki Wojennej im. Bohaterów Westerplatte,1767,1580,1575,1524,1605,1809
08f8f527-1f9a-4850-8d0d-a52250d42780,"Wyższa Szkoła Promocji, Mediów i Show Businessu z siedzibą w Warszawie",19,3,,,5,16
fb0b716b-b98a-4c7a-a0bd-40c352f67d34,Akademia Mazowiecka w Płocku,1887,1789,1711,1651,1709,1823
48cf3dc9-f437-4aca-aa8a-a5d9f404a7c4,Małopolska Uczelnia Państwowa im. rotmistrza Witolda Pileckiego w Oświęcimiu,1761,1995,1888,1807,1697,1700
add982ff-1e14-4375-84f5-07977f9fd994,Uniwersytet WSB Merito w Poznaniu,19241,22467,24083,25049,33960,35400
ce89a21a-0e0f-4752-80c8-a8388329a473,Akademia Humanitas,2356,2567,2791,3107,3434,3915
b9f926d9-47b3-4026-ac18-7f89aff9bad8,Wyższa Szkoła Zarządzania i Psychologii w Poznaniu,686,638,582,545,576,752
9dc46d5f-ff3d-4691-9018-4e3993838b3d,Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie,394,394,392,384,391,389
c2be6f11-8555-47b5-9806-575d4a661c27,Prawosławne Seminarium Duchowne w Warszawie,73,51,47,52,47,53
1dde65ce-2e92-46a0-b743-1eaf8ba1126d,Gdańska Wyższa Szkoła Humanistyczna w likwidacji,760,792,730,637,341,
4e6a4738-94c8-43ff-a800-3747632ca950,Politechnika Częstochowska,5807,5680,5422,5381,5418,5576
a1e65d4f-b897-426b-9e0f-51b5d3c6d629,Wschodnioeuropejska Akademia Nauk Stosowanych w Białymstoku,1059,1001,975,1194,1073,1032
8a2706f6-8163-4308-939d-e9d29bba9654,Państwowa Akademia Nauk Stosowanych w Krośnie,2189,2191,2036,1963,1929,1812
